id,filename,name,profession,title,degree,experience_level,num_jobs,certifications,approx_exp_years,jd_file,edu_pass,skills_match,skills_ratio,match_score,decision,reason
26,26_Waqas_Raza.pdf,Waqas Raza,Cybersecurity,Security Consultant,MS Cybersecurity,internship experience,1,GIAC GSEC,0,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
27,27_Rabia_Chaudhry.pdf,Rabia Chaudhry,Cybersecurity,Information Security Analyst,MS Cybersecurity,overqualified candidate,4,,12,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
28,28_Salman_Awan.pdf,Salman Awan,Cybersecurity,Security Engineer,BS Computer Science,internship experience,1,,0,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
29,29_Fatima_Siddiqui.pdf,Fatima Siddiqui,Mechanical Engineering,Mechanical Engineer,MS Mechanical Engineering,senior professional,3,Certified Manufacturing Technologist,9,Mechanical_Engineer_JD.docx,TRUE,TRUE,1,100,Accept,"Meets education, experience, and skills requirements."
30,30_Talha_Raza.pdf,Talha Raza,Education,Instructional Designer,B.Ed,fresh graduate,0,Teaching Certification; TEFL Certification,0,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
31,31_Naveed_Rehman.pdf,Naveed Rehman,Finance,Internal Auditor,BS Finance,career changer,1,,1,Financial_Analyst_JD.docx,TRUE,TRUE,1,83,Doubtful,Meets core criteria but: experience slightly below minimum; career changer — prior relevance unconfirmed
32,32_Areeba_Chaudhry.pdf,Areeba Chaudhry,Data Science,Data Analyst,MS Data Science,senior professional,3,TensorFlow Developer Certificate,9,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
33,33_Zeeshan_Raza.pdf,Zeeshan Raza,Software Engineering,Application Developer,MS Software Engineering,junior professional,1,,2,Software_Engineer_JD.docx,TRUE,TRUE,0.8,75,Doubtful,Meets core criteria but: experience slightly below minimum
34,34_Warda_Malik.pdf,Warda Malik,Healthcare,Physician Assistant,MD,overqualified candidate,4,,12,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
35,35_Talha_Qureshi.pdf,Talha Qureshi,Human Resources,HR Business Partner,MS Human Resource Management,overqualified candidate,4,,12,HR_Specialist_JD.docx,TRUE,TRUE,0.75,40,Reject,Fails: overqualified — policy disallows
36,36_Waqas_Hussain.pdf,Waqas Hussain,Education,Academic Coordinator,MA Education,mid-level professional,2,TEFL Certification; Teaching Certification,5,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
37,37_Maria_Siddiqui.pdf,Maria Siddiqui,Marketing,Content Strategist,MBA Marketing,junior professional,1,,2,Marketing_Specialist_JD.docx,TRUE,TRUE,1,100,Accept,"Meets education, experience, and skills requirements."
38,38_Sidra_Javed.pdf,Sidra Javed,Mechanical Engineering,Product Design Engineer,BS Mechanical Engineering,junior professional,1,,2,Mechanical_Engineer_JD.docx,TRUE,TRUE,1,83,Doubtful,Meets core criteria but: experience slightly below minimum
39,39_Sana_Aslam.pdf,Sana Aslam,Data Science,Data Scientist,BS Data Science,underqualified candidate,1,Microsoft Certified: Azure Data Scientist Associate,1,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
40,40_Junaid_Malik.pdf,Junaid Malik,Mechanical Engineering,Product Design Engineer,MS Mechanical Engineering,underqualified candidate,1,Certified SolidWorks Associate (CSWA); Certified Manufacturing Technologist,1,Mechanical_Engineer_JD.docx,TRUE,TRUE,1,65,Reject,Fails: experience insufficient (1 yr vs 3 min). Concerns: limited experience
41,41_Bilal_Javed.pdf,Bilal Javed,Legal,Paralegal,JD,underqualified candidate,1,,1,Lawyer_JD.docx,TRUE,TRUE,1,83,Doubtful,Meets core criteria but: experience slightly below minimum; limited experience
42,42_Zeeshan_Javed.pdf,Zeeshan Javed,Civil Engineering,Project Engineer,MS Structural Engineering,career changer,1,LEED Green Associate,1,Civil_Engineer_JD.docx,TRUE,TRUE,1,65,Reject,Fails: experience insufficient (1 yr vs 5 min). Concerns: career changer — prior relevance unconfirmed
43,43_Fatima_Baig.pdf,Fatima Baig,Mechanical Engineering,Mechanical Engineer,MS Mechanical Engineering,freelancer,2,Six Sigma Green Belt,2,Mechanical_Engineer_JD.docx,TRUE,TRUE,0.75,73,Doubtful,Meets core criteria but: experience slightly below minimum
44,44_Daniyal_Iqbal.pdf,Daniyal Iqbal,Healthcare,Registered Nurse,MBBS,candidate with employment gap,2,Basic Life Support (BLS),4,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
45,45_Sidra_Siddiqui.pdf,Sidra Siddiqui,Data Science,Data Analyst,BS Computer Science,fresh graduate,0,Microsoft Certified: Azure Data Scientist Associate,0,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
46,46_Sadia_Qureshi.pdf,Sadia Qureshi,Cybersecurity,Security Consultant,MS Information Assurance,career changer,1,,1,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
47,47_Rabia_Mirza.pdf,Rabia Mirza,Software Engineering,Systems Developer,MS Software Engineering,fresh graduate,0,,0,Software_Engineer_JD.docx,TRUE,TRUE,1,65,Reject,Fails: experience insufficient (0 yr vs 3 min). Concerns: very limited professional experience
48,48_Ali_Hussain.pdf,Ali Hussain,Software Engineering,Software Engineer,MS Computer Science,candidate with employment gap,2,Oracle Certified Professional Java Programmer; Certified Kubernetes Application Developer,4,Software_Engineer_JD.docx,TRUE,TRUE,1,100,Doubtful,Meets core criteria but: employment gap present
49,49_Naveed_Gill.pdf,Naveed Gill,Human Resources,HR Business Partner,BS Psychology,overqualified candidate,4,,12,HR_Specialist_JD.docx,TRUE,TRUE,0.75,40,Reject,Fails: overqualified — policy disallows
50,50_Shahzaib_Awan.pdf,Shahzaib Awan,Civil Engineering,Quantity Surveyor,MS Structural Engineering,junior professional,1,LEED Green Associate,2,Civil_Engineer_JD.docx,TRUE,TRUE,1,65,Reject,Fails: experience insufficient (2 yr vs 5 min)
51,51_Danish_Abbasi.pdf,Danish Abbasi,Human Resources,HR Generalist,BBA Human Resources,fresh graduate,0,,0,HR_Specialist_JD.docx,TRUE,TRUE,0.75,73,Doubtful,Meets core criteria but: experience slightly below minimum; very limited professional experience
52,52_Zara_Aslam.pdf,Zara Aslam,Healthcare,Staff Nurse,BS Nursing,mid-level professional,2,Advanced Cardiac Life Support (ACLS); Certified Nursing Assistant (CNA),5,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
53,53_Sara_Niazi.pdf,Sara Niazi,Finance,Financial Controller,MBA,overqualified candidate,4,,12,Financial_Analyst_JD.docx,TRUE,TRUE,0.75,40,Reject,Fails: overqualified — policy disallows
54,54_Anum_Aslam.pdf,Anum Aslam,Healthcare,Medical Officer,BS Public Health,career changer,1,Basic Life Support (BLS),1,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
55,55_Bushra_Chaudhry.pdf,Bushra Chaudhry,Finance,Finance Officer,BBA,mid-level professional,2,,5,Financial_Analyst_JD.docx,TRUE,TRUE,1,100,Accept,"Meets education, experience, and skills requirements."
56,56_Kashif_Khan.pdf,Kashif Khan,Education,Teacher,BS Education,underqualified candidate,1,Teaching Certification,1,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
57,57_Omar_Aslam.pdf,Omar Aslam,Civil Engineering,Quantity Surveyor,BS Civil Engineering,freelancer,2,,2,Civil_Engineer_JD.docx,TRUE,TRUE,1,65,Reject,Fails: experience insufficient (2 yr vs 5 min)
58,58_Hamza_Javed.pdf,Hamza Javed,Education,Lecturer,MA Education,fresh graduate,0,Teaching Certification; Google Certified Educator,0,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
59,59_Zara_Iqbal.pdf,Zara Iqbal,Marketing,Content Strategist,BS Media Studies,senior professional,3,Meta Blueprint Certification,9,Marketing_Specialist_JD.docx,TRUE,TRUE,1,100,Accept,"Meets education, experience, and skills requirements."
60,60_Salman_Niazi.pdf,Salman Niazi,Legal,Compliance Officer,LLM,mid-level professional,2,Bar Council Membership,5,Lawyer_JD.docx,TRUE,TRUE,0.75,90,Doubtful,Meets core criteria but: experience slightly above stated maximum
61,61_Hamza_Siddiqui.pdf,Hamza Siddiqui,Cybersecurity,Security Engineer,BS Information Security,freelancer,2,CompTIA Security+,2,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
62,62_Zara_Sheikh.pdf,Zara Sheikh,Human Resources,HR Business Partner,MBA Human Resources,overqualified candidate,4,,12,HR_Specialist_JD.docx,TRUE,TRUE,0.75,40,Reject,Fails: overqualified — policy disallows
63,63_Talha_Siddiqui.pdf,Talha Siddiqui,Finance,Financial Analyst,CA Finalist,internship experience,1,Chartered Financial Analyst (CFA) Level I; Certified Public Accountant (CPA),0,Financial_Analyst_JD.docx,TRUE,TRUE,1,65,Reject,Fails: experience insufficient (0 yr vs 2 min). Concerns: very limited professional experience
64,64_Faisal_Qureshi.pdf,Faisal Qureshi,Healthcare,Clinical Nurse,MBBS,freelancer,2,,2,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
65,65_Farhan_Baig.pdf,Farhan Baig,Data Science,Data Analyst,BS Statistics,mid-level professional,2,,5,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
66,66_Omar_Chaudhry.pdf,Omar Chaudhry,Human Resources,People Operations Specialist,BS Psychology,career changer,1,,1,HR_Specialist_JD.docx,TRUE,TRUE,1,100,Doubtful,Meets core criteria but: career changer — prior relevance unconfirmed
67,67_Zeeshan_Khan.pdf,Zeeshan Khan,Data Science,Applied Scientist,BS Computer Science,candidate with employment gap,2,TensorFlow Developer Certificate; Google Data Analytics Certificate,4,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
68,68_Hira_Sheikh.pdf,Hira Sheikh,Civil Engineering,Structural Engineer,BS Civil Engineering,mid-level professional,2,LEED Green Associate,5,Civil_Engineer_JD.docx,TRUE,TRUE,0.8,92,Accept,"Meets education, experience, and skills requirements."
69,69_Warda_Awan.pdf,Warda Awan,Civil Engineering,Quantity Surveyor,MS Structural Engineering,junior professional,1,,2,Civil_Engineer_JD.docx,TRUE,TRUE,1,65,Reject,Fails: experience insufficient (2 yr vs 5 min)
70,70_Zara_Butt.pdf,Zara Butt,Cybersecurity,Security Consultant,BS Information Security,underqualified candidate,1,,1,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
71,71_Noor_Butt.pdf,Noor Butt,Marketing,Brand Manager,BBA Marketing,overqualified candidate,4,,12,Marketing_Specialist_JD.docx,TRUE,TRUE,1,100,Accept,"Meets education, experience, and skills requirements."
72,72_Rabia_Malik.pdf,Rabia Malik,Software Engineering,Frontend Developer,BS Information Technology,overqualified candidate,4,,12,Software_Engineer_JD.docx,TRUE,TRUE,0.8,92,Accept,"Meets education, experience, and skills requirements."
73,73_Nimra_Niazi.pdf,Nimra Niazi,Healthcare,Nurse Practitioner,MD,fresh graduate,0,Basic Life Support (BLS); Certified Nursing Assistant (CNA),0,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
74,74_Ahmed_Chaudhry.pdf,Ahmed Chaudhry,Cybersecurity,Information Security Analyst,BS Computer Science,career changer,1,CISSP,1,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
75,75_Usman_Gill.pdf,Usman Gill,Healthcare,Clinical Nurse,BS Public Health,internship experience,1,,0,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
76,76_Hassan_Javed.pdf,Hassan Javed,Cybersecurity,Threat Intelligence Analyst,BS Computer Science,overqualified candidate,4,,12,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
77,77_Usman_Javed.pdf,Usman Javed,Software Engineering,Software Engineer,MS Computer Science,underqualified candidate,1,,1,Software_Engineer_JD.docx,TRUE,TRUE,0.8,57,Reject,Fails: experience insufficient (1 yr vs 3 min). Concerns: limited experience
78,78_Laiba_Gill.pdf,Laiba Gill,Data Science,Applied Scientist,MS Data Science,career changer,1,TensorFlow Developer Certificate; Microsoft Certified: Azure Data Scientist Associate,1,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
79,79_Sadia_Farooq.pdf,Sadia Farooq,Human Resources,HR Generalist,BS Psychology,senior professional,3,PHR (Professional in Human Resources),9,HR_Specialist_JD.docx,TRUE,TRUE,0.75,40,Reject,Fails: overqualified — policy disallows
80,80_Mahnoor_Butt.pdf,Mahnoor Butt,Mechanical Engineering,Maintenance Engineer,BS Mechanical Engineering,internship experience,1,,0,Mechanical_Engineer_JD.docx,TRUE,TRUE,1,65,Reject,Fails: experience insufficient (0 yr vs 3 min). Concerns: very limited professional experience
81,81_Iqra_Malik.pdf,Iqra Malik,Legal,Paralegal,JD,senior professional,3,Bar Council Membership,9,Lawyer_JD.docx,TRUE,TRUE,1,50,Reject,Fails: overqualified — policy disallows
82,82_Warda_Gill.pdf,Warda Gill,Cybersecurity,Information Security Analyst,BS Cybersecurity,senior professional,3,Certified Ethical Hacker (CEH); OSCP,9,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
83,83_Yasir_Rehman.pdf,Yasir Rehman,Mechanical Engineering,Quality Engineer,BS Mechanical Engineering,candidate with employment gap,2,Six Sigma Green Belt,4,Mechanical_Engineer_JD.docx,TRUE,TRUE,0.5,80,Doubtful,Meets core criteria but: employment gap present
84,84_Anum_Khan.pdf,Anum Khan,Human Resources,Recruitment Coordinator,MS Human Resource Management,career changer,1,SHRM-CP,1,HR_Specialist_JD.docx,TRUE,TRUE,1,100,Doubtful,Meets core criteria but: career changer — prior relevance unconfirmed
85,85_Ayesha_Iqbal.pdf,Ayesha Iqbal,Data Science,AI Engineer,BS Statistics,internship experience,1,Microsoft Certified: Azure Data Scientist Associate; Google Data Analytics Certificate,0,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
86,86_Hassan_Rehman.pdf,Hassan Rehman,Data Science,Machine Learning Engineer,BS Statistics,candidate with employment gap,2,TensorFlow Developer Certificate,4,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
87,87_Fatima_Javed.pdf,Fatima Javed,Mechanical Engineering,Design Engineer,MS Mechanical Engineering,junior professional,1,Six Sigma Green Belt,2,Mechanical_Engineer_JD.docx,TRUE,TRUE,1,83,Doubtful,Meets core criteria but: experience slightly below minimum
88,88_Naveed_Sheikh.pdf,Naveed Sheikh,Education,Instructional Designer,MA Education,fresh graduate,0,,0,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
89,89_Anum_Raza.pdf,Anum Raza,Cybersecurity,Security Consultant,MS Information Assurance,overqualified candidate,4,GIAC GSEC,12,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
90,90_Bushra_Iqbal.pdf,Bushra Iqbal,Finance,Internal Auditor,BS Finance,candidate with employment gap,2,,4,Financial_Analyst_JD.docx,TRUE,TRUE,1,100,Doubtful,Meets core criteria but: employment gap present
91,91_Tehreem_Farooq.pdf,Tehreem Farooq,Education,Teacher,BS Education,mid-level professional,2,,5,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
92,92_Rabia_Iqbal.pdf,Rabia Iqbal,Civil Engineering,Project Engineer,MS Civil Engineering,junior professional,1,LEED Green Associate; PMP (Project Management Professional),2,Civil_Engineer_JD.docx,TRUE,TRUE,0.8,57,Reject,Fails: experience insufficient (2 yr vs 5 min)
93,93_Bushra_Farooq.pdf,Bushra Farooq,Legal,Legal Research Associate,BA-LLB,candidate with employment gap,2,Bar Council Membership; Certified Compliance Professional,4,Lawyer_JD.docx,TRUE,TRUE,1,100,Doubtful,Meets core criteria but: employment gap present
94,94_Sidra_Baig.pdf,Sidra Baig,Healthcare,Staff Nurse,BS Public Health,junior professional,1,Advanced Cardiac Life Support (ACLS); Certified Nursing Assistant (CNA),2,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
95,95_Hira_Gill.pdf,Hira Gill,Human Resources,People Operations Specialist,MBA Human Resources,senior professional,3,,9,HR_Specialist_JD.docx,TRUE,TRUE,1,50,Reject,Fails: overqualified — policy disallows
96,96_Junaid_Iqbal.pdf,Junaid Iqbal,Software Engineering,Systems Developer,BS Information Technology,junior professional,1,Certified Kubernetes Application Developer; Oracle Certified Professional Java Programmer,2,Software_Engineer_JD.docx,TRUE,TRUE,0.8,75,Doubtful,Meets core criteria but: experience slightly below minimum
97,97_Hamza_Qureshi.pdf,Hamza Qureshi,Software Engineering,Frontend Developer,BS Computer Science,internship experience,1,AWS Certified Solutions Architect,0,Software_Engineer_JD.docx,TRUE,TRUE,0.8,57,Reject,Fails: experience insufficient (0 yr vs 3 min). Concerns: very limited professional experience
98,98_Waqas_Niazi.pdf,Waqas Niazi,Software Engineering,Frontend Developer,MS Computer Science,candidate with employment gap,2,Oracle Certified Professional Java Programmer; AWS Certified Solutions Architect,4,Software_Engineer_JD.docx,TRUE,TRUE,0.8,92,Doubtful,Meets core criteria but: employment gap present
99,99_Zara_Baig.pdf,Zara Baig,Civil Engineering,Site Engineer,MS Structural Engineering,internship experience,1,LEED Green Associate; PMP (Project Management Professional),0,Civil_Engineer_JD.docx,TRUE,TRUE,0.8,57,Reject,Fails: experience insufficient (0 yr vs 5 min). Concerns: very limited professional experience
100,100_Danish_Chaudhry.pdf,Danish Chaudhry,Finance,Internal Auditor,BBA,fresh graduate,0,Certified Management Accountant (CMA),0,Financial_Analyst_JD.docx,TRUE,TRUE,0.75,55,Reject,Fails: experience insufficient (0 yr vs 2 min). Concerns: very limited professional experience
101,101_Kashif_Raza.pdf,Kashif Raza,Healthcare,Medical Officer,BS Public Health,candidate with employment gap,2,Certified Nursing Assistant (CNA),4,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
102,102_Hamza_Malik.pdf,Hamza Malik,Civil Engineering,Structural Engineer,MS Structural Engineering,underqualified candidate,1,,1,Civil_Engineer_JD.docx,TRUE,TRUE,0.8,57,Reject,Fails: experience insufficient (1 yr vs 5 min). Concerns: limited experience
103,103_Mehak_Niazi.pdf,Mehak Niazi,Finance,Financial Analyst,BBA,underqualified candidate,1,,1,Financial_Analyst_JD.docx,TRUE,TRUE,1,83,Doubtful,Meets core criteria but: experience slightly below minimum; limited experience
104,104_Sana_Baig.pdf,Sana Baig,Healthcare,Medical Officer,MBBS,junior professional,1,,2,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
105,105_Mehak_Gill.pdf,Mehak Gill,Marketing,Brand Manager,BBA Marketing,overqualified candidate,4,Meta Blueprint Certification,12,Marketing_Specialist_JD.docx,TRUE,TRUE,0.75,90,Accept,"Meets education, experience, and skills requirements."
106,106_Kashif_Qureshi.pdf,Kashif Qureshi,Legal,Compliance Officer,LLM,freelancer,2,,2,Lawyer_JD.docx,TRUE,TRUE,1,100,Accept,"Meets education, experience, and skills requirements."
107,107_Iqra_Siddiqui.pdf,Iqra Siddiqui,Mechanical Engineering,Mechanical Engineer,BS Mechanical Engineering,fresh graduate,0,Certified Manufacturing Technologist; Six Sigma Green Belt,0,Mechanical_Engineer_JD.docx,TRUE,TRUE,1,65,Reject,Fails: experience insufficient (0 yr vs 3 min). Concerns: very limited professional experience
108,108_Junaid_Sheikh.pdf,Junaid Sheikh,Finance,Finance Officer,BS Accounting,freelancer,2,,2,Financial_Analyst_JD.docx,TRUE,TRUE,1,100,Accept,"Meets education, experience, and skills requirements."
109,109_Anum_Rehman.pdf,Anum Rehman,Cybersecurity,Penetration Tester,MS Cybersecurity,freelancer,2,,2,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
110,110_Mahnoor_Farooq.pdf,Mahnoor Farooq,Software Engineering,Frontend Developer,MS Computer Science,career changer,1,,1,Software_Engineer_JD.docx,TRUE,TRUE,0.8,57,Reject,Fails: experience insufficient (1 yr vs 3 min). Concerns: career changer — prior relevance unconfirmed
111,111_Ahmed_Khan.pdf,Ahmed Khan,Education,Assistant Professor,M.Ed,internship experience,1,Teaching Certification,0,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
112,112_Alina_Siddiqui.pdf,Alina Siddiqui,Software Engineering,Systems Developer,BS Software Engineering,junior professional,1,AWS Certified Solutions Architect; Certified Kubernetes Application Developer,2,Software_Engineer_JD.docx,TRUE,TRUE,0.8,75,Doubtful,Meets core criteria but: experience slightly below minimum
113,113_Hassan_Niazi.pdf,Hassan Niazi,Legal,Corporate Counsel,LLM,freelancer,2,,2,Lawyer_JD.docx,TRUE,TRUE,1,100,Accept,"Meets education, experience, and skills requirements."
114,114_Usman_Abbasi.pdf,Usman Abbasi,Mechanical Engineering,Mechanical Engineer,MS Mechanical Engineering,fresh graduate,0,Certified Manufacturing Technologist,0,Mechanical_Engineer_JD.docx,TRUE,TRUE,1,65,Reject,Fails: experience insufficient (0 yr vs 3 min). Concerns: very limited professional experience
115,115_Anum_Gill.pdf,Anum Gill,Legal,Corporate Counsel,LLB,mid-level professional,2,Bar Council Membership,5,Lawyer_JD.docx,TRUE,TRUE,1,100,Doubtful,Meets core criteria but: experience slightly above stated maximum
116,116_Sidra_Mirza.pdf,Sidra Mirza,Education,Academic Coordinator,B.Ed,freelancer,2,Teaching Certification,2,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
117,117_Junaid_Farooq.pdf,Junaid Farooq,Legal,Legal Research Associate,JD,fresh graduate,0,Certified Compliance Professional,0,Lawyer_JD.docx,TRUE,TRUE,1,65,Reject,Fails: experience insufficient (0 yr vs 2 min). Concerns: very limited professional experience
